link_id,points_count,stops_computecount,sig_mean_mean,Score,name,geometry,Score_Bus,Score_Rail
cluster7_tertiary_1_6,7,84,2.1666666666666665,5.557390274499996,Atlanta Avenue Southeast,"LINESTRING (-84.38080519887596 33.73034299721526, -84.38015840146392 33.73033637593724)",5.557390274499996,0.0
cluster7_tertiary_1_7,6,92,2.037847222222222,5.692131183131296,Atlanta Avenue Southeast,"LINESTRING (-84.3779784058608 33.73031811985389, -84.3784406 33.7303223, -84.378512 33.73032300000002)",5.692131183131296,0.0
cluster7_tertiary_1_8,7,80,1.9910714285714286,5.017495957327118,Atlanta Avenue Southeast,"LINESTRING (-84.3762083819361 33.73030229648757, -84.37556161776291 33.730296744080185)",5.017495957327118,0.0
cluster7_tertiary_1_9,7,112,1.8125,5.135199186101892,Atlanta Avenue Southeast,"LINESTRING (-84.37470092144639 33.730292151903505, -84.37405427745288 33.73029081579322)",5.135199186101892,0.0
cluster7_tertiary_2_1,7,102,1.7318239795918369,4.754614900786694,Cherokee Avenue Southeast,"LINESTRING (-84.37362718123336 33.730570806562135, -84.37363107172841 33.731110993064966)",4.754614900786694,0.0
cluster7_tertiary_2_11,7,63,1.5277777777777775,3.5178383365186807,Cherokee Avenue Southeast,"LINESTRING (-84.37363559197011 33.73396987710682, -84.3736357 33.7340287, -84.3736358 33.734107200000004, -84.373636 33.7342195, -84.37363643705443 33.73451012343503)",3.5178383365186807,0.0
cluster7_tertiary_2_13,7,69,1.5682539682539682,3.7400084332321355,Cherokee Avenue Southeast,"LINESTRING (-84.373635 33.733641000000006, -84.3736345 33.7331231)",3.7400084332321355,0.0
cluster7_tertiary_2_14,7,70,1.5892857142857142,3.810940701411696,Cherokee Avenue Southeast,"LINESTRING (-84.37363447333885 33.73308667764288, -84.3736341 33.73257679999999, -84.37363405452554 33.73254642277886)",3.810940701411696,0.0
cluster7_tertiary_2_15,7,73,1.6716117216117217,4.072240872571552,Cherokee Avenue Southeast,"LINESTRING (-84.37363326683213 33.731680372610626, -84.37363369187926 33.73222062742625)",4.072240872571552,0.0
cluster7_tertiary_2_9,7,77,1.5454545454545454,3.8403102769450914,Cherokee Avenue Southeast,"LINESTRING (-84.37363776412055 33.735691126657734, -84.37363727972891 33.73515087331203)",3.8403102769450914,0.0
cluster7_tertiary_3_1,7,33,2.1333333333333333,3.7183345174583957,Fulton Street,"LINESTRING (-84.38250838159819 33.74224659353954, -84.382771 33.742156, -84.383044 33.74208, -84.38311755792681 33.742066559258085)",3.7183345174583957,0.0
cluster7_tertiary_8_1,7,188,2.070487382987383,6.888696644458154,Ormond Street Southeast,"LINESTRING (-84.386814807831 33.73171212147739, -84.3871633 33.73172329999999, -84.3874611933627 33.73173285125728)",6.888696644458154,0.0
cluster7_tertiary_8_3,7,163,2.0966614906832297,6.688115933020464,Ormond Street Southeast,"LINESTRING (-84.38346857255372 33.73162775048173, -84.3838392 33.7316366, -84.38411543012016 33.73164318072369)",6.688115933020464,0.0
cluster7_tertiary_8_4,7,103,2.2113876319758674,6.0914225087015135,Ormond Street Southeast,"LINESTRING (-84.38178107708458 33.73158723595738, -84.38242792196952 33.731602803479404)",6.0914225087015135,0.0
cluster7_tertiary_8_5,7,79,2.0889110889110887,5.239902172618805,Ormond Street Southeast,"LINESTRING (-84.3801300926443 33.73154703968519, -84.3807769081472 33.731562931470314)",5.239902172618805,0.0
cluster7_tertiary_8_6,7,109,1.9632240396158462,5.512104954104253,Ormond Street Southeast,"LINESTRING (-84.37794757339792 33.73149468346924, -84.3784356 33.7315063, -84.378502 33.73150799999999)",5.512104954104253,0.0
cluster7_tertiary_8_7,7,96,1.883241758241758,5.063695918280214,Ormond Street Southeast,"LINESTRING (-84.375539089958 33.73143658368464, -84.3761859098642 33.731452412996106)",5.063695918280214,0.0
cluster7_tertiary_8_8,7,82,1.8594548308834022,4.728084554651422,Ormond Street Southeast,"LINESTRING (-84.37404703005028 33.73140159809877, -84.37469393446572 33.73141647773787)",4.728084554651422,0.0
cluster7_tertiary_9_1,7,166,1.9742391304347826,6.33213795582299,Ormond Street Southwest,"LINESTRING (-84.3904999523192 33.73179855326053, -84.38985304856095 33.73178362271543)",6.33213795582299,0.0
cluster7_tertiary_9_2,7,200,2.017505277973258,6.832904315179242,Ormond Street Southwest,"LINESTRING (-84.38836052966634 33.73175537150825, -84.388698 33.7317612, -84.3889877 33.7317663, -84.38900747291588 33.73176657590129)",6.832904315179242,0.0
cluster8_primary_1_1,7,115,1.6890756302521008,4.827565462447619,Clairemont Avenue,"LINESTRING (-84.3066887903757 33.78740567286207, -84.306662 33.7873311, -84.3066194 33.7872218, -84.3065957 33.7871691, -84.3065927 33.7871623, -84.3065427 33.78705839999998, -84.3065053 33.7869921, -84.3064668 33.7869267, -84.3064511525153 33.786904194433795)",4.827565462447619,0.0
