,Stop ID,Stop Abbr,Stop Name,Lon,Lat,Bus Stop Type,Route(S),Jurisdiction
2586,176156,176156,SULLIVAN RD@SOUTHPORT RD,-84.461639,33.624775,Sign on Post,89,Fulton
2587,176157,176157,SULLIVAN RD @ EMBARCADERO LN,-84.460357,33.624692,Shelter,89,Fulton
2588,176160,176160,ROOSEVELT HWY @ WICKERSHAM DR,-84.461879,33.636682,Bench,180;189;195,Fulton
2589,176162,176162,ROOSEVELT HWY @ GLOBAL GATEWAY CONN,-84.467961,33.631824,Sign on Post,180;189;195,Fulton
2590,176166,176166,ROOSEVELT HWY @ 2511,-84.470613,33.629673,Sign on Post,180;189;195,Fulton
2591,176169,176169,ROOSEVELT HWY @ GREENSPRING RD,-84.474927,33.626383,Shelter,180,Fulton
2592,176174,176174,ROOSEVELT HWY@JANICE DR,-84.479754,33.623896,Sign on Post,180,Fulton
2593,176176,176176,ROOSEVELT HWY@KENT RD,-84.481216,33.623719,Simme Seat,180,Fulton
2594,176180,176180,ROOSEVELT HWY @ WHITE CITY RD,-84.4842,33.623458,Sign on Post,180,Fulton
2595,176182,176182,ROOSEVELT HWY @ ROCK HILL RD,-84.486669,33.623279,Simme Seat,180,Fulton
2596,176186,176186,ROOSEVELT HWY @ WASHINGTON RD,-84.49224,33.622766,Sign on Post,180,Fulton
2597,176192,176192,ROOSEVELT HWY @ CAMPBELL DR,-84.498728,33.622183,Sign on Post,180;181,Fulton
2598,176194,176194,ROOSEVELT HWY@BUFFINGTON RD,-84.501629,33.621731,Sign on Post,180,Fulton
2599,176196,176196,SULLIVAN RD @ 2411,-84.469834,33.624848,Sign on Post,89,Fulton
2600,176198,176198,SULLIVAN RD@2411,-84.469816,33.62452,Sign on Post,89,Fulton
2601,176200,176200,SCOFIELD RD @ ROCHELLE WAY,-84.463449,33.61387,Sign on Post,189,Fulton
2602,176214,176214,WASHINGTON RD @ HATHCOCK RD,-84.491889,33.627047,Sign on Post,181,Fulton
2603,176216,176216,ROOSEVELT HWY @ 2601,-84.474857,33.626628,Bench,180,Fulton
2604,176220,176220,SULLIVAN RD@2511,-84.471707,33.624468,Sign on Post,89,Fulton
2605,176222,176222,ROOSEVELT HWY @ 2511,-84.470852,33.629782,Sign on Post,180;189;195,Fulton
2606,176224,176224,BEST RD @ 4601,-84.45797,33.630379,Sign on Post,89,Clayton
2607,176226,176226,BEST RD @ 4601,-84.45811,33.630048,Sign on Post,89,Fulton
2608,176230,176230,BUFFINGTON RD @ NATURALLY FRESH BLVD,-84.500219,33.612303,Simme Seat,181,Fulton
2609,176232,176232,BUFFINGTON RD @ NATURALLY FRESH BLVD,-84.500125,33.612439,Shelter,181,Fulton
2610,176234,176234,WASHINGTON RD @ 4626,-84.491947,33.630067,Shelter,181,Fulton
2611,182006,182006,ROOSEVELT HWY @ MASON RD,-84.544178,33.600811,Sign on Post,180,Fulton
2612,182010,182010,ROOSEVELT HWY @ HIGHPOINT RD,-84.549617,33.594247,Shelter,180,Fulton
